emp_no,first_name,last_name,birth_date,title,dept_no,dept_name
70469,Tru,Miyakawa,1965-01-12,Staff,d001,Marketing
44900,Mark,Schwaller,1965-01-05,Senior Staff,d001,Marketing
200789,Susumu,Camurati,1965-01-14,Staff,d001,Marketing
47708,Edwin,Haldar,1965-01-05,Senior Staff,d001,Marketing
243637,Marjo,Delgrange,1965-01-16,Staff,d001,Marketing
243898,Arch,Basawa,1965-01-09,Staff,d001,Marketing
244308,Mokhtar,Rebaine,1965-01-10,Staff,d001,Marketing
200735,Dinah,Denos,1965-01-09,Staff,d001,Marketing
432956,Qunsheng,Birrer,1965-01-25,Staff,d001,Marketing
38947,Shuichi,Ruemmler,1965-01-25,Staff,d001,Marketing
223593,Hidefumi,Moehrke,1965-01-20,Staff,d001,Marketing
297431,Cathie,Ratnakar,1965-01-12,Senior Staff,d001,Marketing
227899,Garnik,Luce,1965-01-23,Staff,d001,Marketing
222998,Leaf,Awdeh,1965-01-07,Staff,d001,Marketing
435181,Kazuhide,Fiutem,1965-01-16,Senior Staff,d001,Marketing
246798,Tianruo,Strooper,1965-01-09,Senior Staff,d001,Marketing
435289,Feixiong,Schurmann,1965-01-04,Senior Staff,d001,Marketing
411143,Goncalo,Barbanera,1965-01-08,Senior Staff,d001,Marketing
107792,Shahab,Crooks,1965-01-13,Staff,d001,Marketing
106710,Babette,Anandan,1965-01-31,Staff,d001,Marketing
247875,Xiong,Anick,1965-01-02,Senior Staff,d001,Marketing
230865,Takushi,Brattka,1965-01-02,Staff,d001,Marketing
248351,Jaana,Milicia,1965-02-01,Senior Staff,d001,Marketing
482755,Jouni,Conia,1965-01-03,Senior Staff,d001,Marketing
437395,Sumant,Thambidurai,1965-01-21,Senior Staff,d001,Marketing
103310,Visit,Swen,1965-01-07,Senior Staff,d001,Marketing
438038,Lena,Giaccio,1965-01-01,Senior Staff,d001,Marketing
467886,Sivanarayana,Chandrasekhar,1965-01-02,Senior Staff,d001,Marketing
21546,Yongmin,Lanteri,1965-01-01,Senior Staff,d001,Marketing
294527,Ashish,Candan,1965-01-04,Senior Staff,d001,Marketing
440870,Filipp,Hasham,1965-01-01,Staff,d001,Marketing
221973,Sangeeta,Kalefeld,1965-01-17,Staff,d001,Marketing
467591,Kiyotoshi,Hennebert,1965-01-17,Staff,d001,Marketing
53431,Sham,Vasanthakumar,1965-01-12,Senior Staff,d001,Marketing
443873,Vatsa,Ramsay,1965-01-20,Staff,d001,Marketing
293154,Syozo,Maliniak,1965-01-21,Senior Staff,d001,Marketing
418247,Oscar,Oppitz,1965-01-08,Senior Staff,d001,Marketing
92846,Anyuan,Kropatsch,1965-01-11,Staff,d001,Marketing
91648,Dmitry,Msuda,1965-01-29,Staff,d001,Marketing
91256,Gunilla,Milicic,1965-01-13,Staff,d001,Marketing
34780,Moni,Kohling,1965-01-16,Staff,d001,Marketing
90692,Rajmohan,DasSarma,1965-01-03,Staff,d001,Marketing
89941,Arnould,Weedman,1965-01-23,Senior Staff,d001,Marketing
22455,Barry,Unno,1965-01-06,Staff,d001,Marketing
89664,Pranjal,Rossi,1965-01-20,Staff,d001,Marketing
220582,Poornachandra,Zielinski,1965-01-08,Senior Staff,d001,Marketing
53874,Bodo,Schade,1965-01-23,Staff,d001,Marketing
256888,Heather,Pehl,1965-01-03,Staff,d001,Marketing
257378,Pascal,Bernatsky,1965-01-06,Senior Staff,d001,Marketing
418860,Ymte,Dalton,1965-02-01,Senior Staff,d001,Marketing
219052,Marsal,Acton,1965-01-06,Staff,d001,Marketing
86422,Jaewon,Thummel,1965-02-01,Staff,d001,Marketing
288560,Yifei,Birjandi,1965-01-16,Staff,d001,Marketing
419953,Ung,Orlowski,1965-01-29,Senior Staff,d001,Marketing
86213,Kristine,Clemencon,1965-01-28,Staff,d001,Marketing
287983,Randi,Munos,1965-01-23,Senior Staff,d001,Marketing
32714,Radoslaw,Maliniak,1965-01-16,Staff,d001,Marketing
496978,Danco,Debuse,1965-01-30,Senior Staff,d001,Marketing
452982,Lobel,Aloia,1965-01-29,Senior Staff,d001,Marketing
32347,Terresa,Peres,1965-01-08,Staff,d001,Marketing
453644,Berni,Takkinen,1965-01-07,Staff,d001,Marketing
31568,Mark,Lalonde,1965-01-10,Staff,d001,Marketing
415363,Conal,Shackell,1965-01-19,Staff,d001,Marketing
262439,Lorien,Lagarias,1965-01-30,Senior Staff,d001,Marketing
30938,Yakkov,Samarati,1965-01-06,Staff,d001,Marketing
453913,Stein,Perng,1965-01-23,Staff,d001,Marketing
79763,Sanjoy,Barreiro,1965-01-20,Staff,d001,Marketing
420732,Willard,Morrin,1965-01-06,Staff,d001,Marketing
79310,Jeong,Cunliffe,1965-01-24,Senior Staff,d001,Marketing
455175,Soenke,Zaumen,1965-01-14,Staff,d001,Marketing
284300,Ishfaq,Mahmud,1965-01-22,Senior Staff,d001,Marketing
264626,Noritoshi,Bakhtari,1965-01-13,Staff,d001,Marketing
78106,Ashish,Ratnaker,1965-01-09,Senior Staff,d001,Marketing
457938,Arch,Picco,1965-01-14,Staff,d001,Marketing
29130,Xumin,Thorensen,1965-01-06,Staff,d001,Marketing
266206,Zsolt,Anily,1965-02-01,Staff,d001,Marketing
278536,Munenori,Shobatake,1965-01-14,Staff,d001,Marketing
266881,Mokhtar,Sabnani,1965-01-11,Staff,d001,Marketing
494019,Morrie,Iisaku,1965-01-16,Senior Staff,d001,Marketing
69219,Shuky,Redmiles,1965-01-09,Senior Staff,d001,Marketing
67320,Sadok,Lorys,1965-01-18,Senior Staff,d001,Marketing
276868,Alois,Sanella,1965-01-19,Staff,d001,Marketing
66757,Yonghong,Baig,1965-01-16,Staff,d001,Marketing
463023,Itzchak,Penn,1965-01-06,Staff,d001,Marketing
269728,Naftali,Kragelund,1965-01-12,Senior Staff,d001,Marketing
270084,Ulises,Frolund,1965-01-11,Staff,d001,Marketing
270794,Dannz,Zhang,1965-02-01,Senior Staff,d001,Marketing
488752,Nimmagadda,Baja,1965-01-23,Senior Staff,d001,Marketing
465409,Shahid,Varman,1965-01-30,Staff,d001,Marketing
497340,Fayez,Keohane,1965-01-06,Senior Staff,d001,Marketing
